user_id,product_id,product_name
141,681_read,Хүүхэд ба Гэр бүл
141,979_listen,Хүний ганц охин
141,376_listen,Икигай
141,360_listen,Ичиго-Ичие
142,1454_read,Биеэ үнэлэгчийн өдрийн тэмдэглэл
142,714_listen,Согоомаа
481,702_listen,Эмгэн
481,714_listen,Согоомаа
664,996_read,TED Talks: Илтгэх урлагт хөтлөх TED-ийн албан ёсны гарын авлага
664,1075_read,Сэтгэл хөдлөлийн чадамж
664,954_read,Баян эмэгтэй
664,959_read,Жижиг бизнесээр баяжих ухаан
664,337_listen,Сүрчиг
664,538_read,Дэлхийн бяцхан түүх
664,1219_read,Тэнэгүүдийн сургууль
664,1019_read,Англи хэл сурахад учир бий
664,346_listen,Тэмдэглэлийн дэвтэр
664,1225_read,Өөрийгөө чөлөөл
664,1110_read,Номын сангийн ном
664,278_listen,"Бүтээлч, INC."
664,479_listen,Бовари хатагтай
664,783_listen,Дотно хоолой Эротик өгүүллэг 1
664,870_listen,Биеэ үнэлэгчийн өдрийн тэмдэглэл 2
664,878_listen,Биеэ үнэлэгчийн өдрийн тэмдэглэл 3
664,629_listen,Арван наймтын золбоо
664,975_listen,Банхар
707,554_read,Дотроосоо
707,571_read,Хувь заяаны хэлхээ
707,582_read,Миний мэдэх ЖЕНКО Баттулга
707,622_read,Аугаа Эрин: Хөх илдний очис
707,561_listen,Чингис хааны нууц түүх I
707,714_listen,Согоомаа
707,726_listen,Алиалагч
707,737_listen,Шулам
707,975_listen,Банхар
707,809_listen,Гаж ертөнцийн түүхүүд 1
1085,675_listen,Чөтгөр л биш бол... 2
1085,641_listen,Мөхлийн эрин 4-р бүлэг
1085,718_listen,Би хэн юм бэ?
1085,755_listen,Хээрийн юм
1085,819_listen,Бэлзэг
1085,658_listen,F*ck you money
1110,671_listen,Гажиг тахил
1110,699_listen,Чөнс
1110,714_listen,Согоомаа
1110,775_listen,Сахилга зөрчигч
1110,822_listen,Мах уу? Шөл үү?
1110,809_listen,Гаж ертөнцийн түүхүүд 1
1345,158_listen,Сахиусан тэнгэрүүд
1345,1075_read,Сэтгэл хөдлөлийн чадамж
