user_id,unique_purchase_count
326537,18
293815,17
297042,17
268207,17
326082,17
336195,17
286851,17
331628,17
284694,17
327376,17
233076,17
283730,17
109826,17
147795,17
157977,17
276933,16
160355,16
299740,16
321174,16
214092,16
252747,16
280631,16
293074,16
318531,16
246535,16
250947,16
326324,16
260357,16
34755,16
243561,16
246300,16
260473,16
281168,16
286212,16
313764,16
281169,16
194816,16
246590,16
271504,16
314840,16
316956,16
267705,16
296189,16
96605,16
167297,16
194948,16
250161,16
56536,16
97109,16
168713,16
294819,16
29891,16
325030,16
276681,16
292279,16
85163,16
91500,16
111964,16
246376,16
271311,16
299123,16
315494,16
30024,16
110330,16
179636,16
272646,15
177792,15
2827,15
245695,15
249819,15
263713,15
60527,15
268235,15
284590,15
300219,15
302088,15
83395,15
119518,15
268252,15
274136,15
303705,15
121973,15
315223,15
207172,15
252465,15
263357,15
100830,15
202735,15
246762,15
284403,15
63418,15
310113,15
117708,15
151710,15
154348,15
318593,15
247073,15
250494,15
291545,15
19836,15
314275,15
192669,15
86500,15
262555,15
264509,15
288172,15
54552,15
211574,15
250522,15
241450,15
130060,15
76796,15
250432,15
327069,15
282962,14
290046,14
292818,14
307705,14
184063,14
246710,14
248209,14
252085,14
274077,14
329808,14
315203,14
318059,14
322323,14
264935,14
279068,14
287469,14
14419,14
308428,14
314161,14
248012,14
338995,14
276038,14
109684,14
311327,14
325687,14
294767,14
308678,14
259549,14
279817,14
323070,14
280692,14
291817,14
133111,14
187889,14
250985,14
276172,14
276778,14
246493,14
265979,14
297127,14
217114,14
4783,14
22864,14
206966,14
213888,14
271848,14
109847,14
334182,14
322913,14
245652,14
249465,14
276802,13
329891,13
311217,13
332473,13
280938,13
296430,13
307983,13
318826,13
250943,13
9665,13
84162,13
317124,13
301639,13
250673,13
310094,13
341423,13
270606,13
297591,13
334410,13
322181,13
228796,13
250287,13
271215,13
296096,13
297322,13
302535,13
211194,13
223568,13
244004,13
8237,13
161381,13
192196,13
247003,13
280554,13
283510,13
291472,13
298868,13
59682,13
313579,13
315632,13
194876,13
320560,13
110094,13
127069,13
203032,13
324531,13
327675,13
280155,13
284023,13
348509,13
13210,13
332646,13
159347,13
317257,13
127371,13
143211,13
321754,13
293539,13
297126,13
302899,13
310678,13
206899,13
231957,13
325890,13
271030,13
26548,13
313387,13
320581,13
323156,13
271376,13
289386,13
103199,13
165957,13
230808,13
248817,13
339221,13
308614,13
247564,13
248185,13
278842,12
291927,12
299955,12
221378,12
272720,12
274049,12
328816,12
287635,12
318042,12
220780,12
337849,12
283253,12
39600,12
